LSOA_code,Total: All households,Household is not deprived in any dimension,Household is deprived in one dimension,Household is deprived in two dimensions,Household is deprived in three dimensions,Household is deprived in four dimensions
E01035041 : Leeds 044H,447,200,190,51,6,0
E01011477 : Leeds 045A,917,443,262,147,60,5
E01011480 : Leeds 045B,649,338,228,75,8,0
E01011488 : Leeds 045C,701,365,227,82,27,0
E01011489 : Leeds 045D,862,400,282,140,39,1
E01011324 : Leeds 046A,551,166,197,122,64,2
E01011325 : Leeds 046B,749,360,241,108,40,0
E01011326 : Leeds 046C,626,214,197,171,40,4
E01011332 : Leeds 046D,690,250,228,130,75,7
E01011423 : Leeds 047A,607,230,228,114,29,6
E01011424 : Leeds 047B,575,225,200,107,40,3
E01011427 : Leeds 047C,580,137,219,153,64,7
E01011431 : Leeds 047D,831,250,265,216,95,5
E01011422 : Leeds 048A,548,213,196,108,31,0
E01011426 : Leeds 048B,496,170,181,107,37,1
E01011428 : Leeds 048C,647,201,241,154,45,6
E01011429 : Leeds 048D,738,245,269,166,57,1
E01011663 : Leeds 050A,589,235,201,96,53,4
E01011664 : Leeds 050B,580,207,190,124,50,9
E01011665 : Leeds 050C,646,241,202,141,58,4
E01011667 : Leeds 050D,543,142,190,141,69,1
E01011323 : Leeds 051A,612,245,204,131,31,1
E01011329 : Leeds 051B,694,397,210,78,9,0
E01011330 : Leeds 051C,583,288,208,72,14,1
E01011333 : Leeds 051D,635,247,214,125,43,6
E01011327 : Leeds 052A,655,253,218,121,57,6
E01011328 : Leeds 052B,708,301,237,129,41,0
E01011335 : Leeds 052C,822,405,270,113,29,5
E01011591 : Leeds 052D,831,556,202,66,7,0
E01011430 : Leeds 053A,486,139,209,104,30,4
E01011432 : Leeds 053B,568,128,232,159,40,9
E01011433 : Leeds 053C,691,170,299,154,55,13
E01011434 : Leeds 053D,659,183,256,174,42,4
E01011445 : Leeds 054A,474,204,197,66,7,0
E01011446 : Leeds 054B,511,218,209,74,10,0
E01011447 : Leeds 054C,430,191,158,67,13,1
E01011448 : Leeds 054D,479,163,197,98,19,2
E01011449 : Leeds 054E,613,275,245,79,13,1
E01011670 : Leeds 055A,781,261,294,163,61,2
E01011671 : Leeds 055B,641,233,221,134,53,0
E01033002 : Leeds 055F,1013,508,323,144,35,3
E01033003 : Leeds 055G,1181,460,447,218,55,1
E01035042 : Leeds 055I,464,185,156,87,35,1
E01035043 : Leeds 055J,433,174,180,48,22,9
E01011478 : Leeds 056A,805,362,284,127,28,4
E01011479 : Leeds 056B,619,316,224,67,10,2
E01011481 : Leeds 056C,710,311,247,119,33,0
E01011482 : Leeds 056D,872,467,288,88,27,2
E01011483 : Leeds 056E,696,235,257,155,48,1
E01011406 : Leeds 057A,587,331,185,61,9,1
E01011407 : Leeds 057B,662,317,238,94,11,2
E01011408 : Leeds 057C,766,322,304,121,18,1
E01011409 : Leeds 057D,661,349,188,96,24,4
E01011410 : Leeds 057E,777,394,262,101,17,3
E01011412 : Leeds 057F,796,437,254,96,9,0
E01011331 : Leeds 058A,631,294,222,95,19,1
E01011334 : Leeds 058B,688,312,241,96,36,3
E01011336 : Leeds 058C,828,274,307,182,61,4
E01011337 : Leeds 058D,571,178,205,134,51,3
E01011281 : Leeds 059A,902,417,286,144,51,4
E01011282 : Leeds 059B,616,242,197,132,41,4
E01011283 : Leeds 059C,634,230,225,128,49,2
E01011286 : Leeds 059D,586,296,202,71,16,1
E01011295 : Leeds 059E,747,290,256,143,55,3
E01011339 : Leeds 060A,861,267,341,173,78,2
E01011340 : Leeds 060B,672,245,217,151,57,2
E01011342 : Leeds 060C,662,186,292,137,45,2
E01011346 : Leeds 060D,793,269,287,171,61,5
E01011341 : Leeds 061A,873,445,292,104,31,1
E01011343 : Leeds 061B,934,446,275,151,58,4
E01011345 : Leeds 061C,670,239,258,126,42,5
E01011666 : Leeds 061D,596,331,185,71,7,2
E01011585 : Leeds 062A,668,283,230,119,36,0
E01011587 : Leeds 062B,793,483,224,69,17,0
E01011594 : Leeds 062C,634,254,224,118,35,3
E01011596 : Leeds 062D,781,445,253,71,11,1
E01011598 : Leeds 062E,755,434,234,74,13,0
E01011678 : Leeds 063B,857,392,331,106,27,1
E01011681 : Leeds 063D,644,226,233,132,48,5
E01035044 : Leeds 063F,647,312,237,78,19,1
E01035045 : Leeds 063G,621,231,306,73,10,1
E01011338 : Leeds 064A,807,230,283,224,64,6
E01011673 : Leeds 064B,785,256,305,165,53,6
E01011677 : Leeds 064D,781,219,277,176,98,11
